frame,X,Y,raw distance,deg
0,36.010044,15.455601,39.18671811919346,0.0
1,35.344994,15.197862,38.47393312716335,1.6576926
2,35.717148,15.3858795,38.89010081506925,-0.9661015
6,34.555145,15.074917,37.70028221773512,2.7273355
7,34.524174,15.088467,37.67732002592458,0.052540176
8,36.289543,15.888449,39.61532253177898,-4.4264374
9,36.12401,15.844288,39.44598171718905,0.38608673
10,34.480022,15.204299,37.68345263559408,3.99703
11,33.88343,14.967785,37.04215787398107,1.4517357
12,34.472168,15.281896,37.707647755047645,-1.5011802
13,35.001984,15.516768,38.287191822033485,-1.3073077
14,35.68969,15.877584,39.062149998431984,-1.7419537
15,33.638954,15.017989,36.83909964555747,4.979434
16,33.36852,14.923409,36.55360635690154,0.6383587
17,33.725235,15.135812,36.96598778512063,-0.918858
18,33.86427,15.224753,37.129257831383796,-0.36315995
19,35.131916,15.822202,38.53042312068964,-3.1111739
20,35.41345,15.97675,38.85059711876222,-0.7096853
21,34.894753,15.770093,38.29281394216642,1.2342163
22,33.22089,15.065696,36.47742840720991,4.0030494
24,33.320972,15.215554,36.6305923098269,-0.335418
25,33.555573,15.375284,36.91037597332473,-0.61060995
26,35.113667,16.11673,38.63571541798307,-3.759013
27,32.38193,14.939043,35.66180767105318,6.4462547
28,32.503162,15.020448,35.80599751449207,-0.3120164
29,34.00083,15.739204,37.46703955124257,-3.588289
30,34.10744,15.815289,37.59575664844039,-0.2775928
31,33.434746,15.5295725,36.86529268414263,1.572669
32,33.05852,15.380738,36.461390310826566,0.8681258
33,32.566578,15.177383,35.92958472615221,1.1411116
34,32.626232,15.205184,35.99539833328526,-0.14121829
35,31.163643,14.572412,34.40243933257132,3.4066021
36,30.399511,14.238923,33.56899160334765,1.7793764
37,31.670563,14.859098,34.98310138927794,-3.0140224
38,31.884298,15.009361,35.240451249904204,-0.54668677
39,31.343391,14.7793,34.65307976933652,1.2456757
40,32.673794,15.432232,36.134894365700205,-3.1373625
41,30.929295,14.632525,34.21596200114886,4.056116
42,31.357111,14.834925,34.68924017312951,-1.0003849
43,31.421394,14.865336,34.76035423528506,-0.15031634
44,31.540634,14.94647,34.902843667726415,-0.30068687
45,30.191235,14.307018,33.40960065633268,3.1511004
46,30.153208,14.312632,33.37764795207266,0.067316525
47,30.68329,14.564242,33.96441403731908,-1.2361723
48,30.967836,14.72358,34.28980564955676,-0.68439025
49,30.237019,14.376113,33.4805906634258,1.7020073
50,29.650148,14.120328,32.84075048743748,1.3435493
51,29.492908,14.0685625,32.67653750805959,0.34425113
52,30.92477,14.751583,34.262963730444426,-3.3257356
53,29.73388,14.206816,32.953562111847255,2.7404866
54,30.172739,14.416501,33.439940404519454,-1.0179561
55,29.877527,14.298868,33.122866234342176,0.66252744
56,28.533785,13.655776,31.63316462973927,3.112736
57,30.711008,14.72183,34.0572799182449,-5.0569134
58,29.156805,13.976797,32.33372995454495,3.595474
59,28.393312,13.6330595,31.496673892787374,1.7433207
60,28.434544,13.652856,31.542411227658032,-0.09525628
61,28.292437,13.606799,31.394377420069187,0.30780476
62,28.067497,13.498619,31.144776951322935,0.51899093
63,27.906082,13.442861,30.975150700803702,0.35212776
64,28.373514,13.668032,31.493990854779543,-1.077062
65,27.135378,13.0716,30.119685167184475,2.852926
66,27.009918,13.011164,29.9804277788808,0.28908488
67,27.349262,13.174631,30.357092079953595,-0.7819187
68,27.033571,12.980178,29.988313560374024,0.7680481
69,26.921207,12.926227,29.863669317704204,0.25959423
70,26.699453,12.777897,29.599586112763046,0.5518027
71,28.190437,13.491456,31.252521382657072,-3.4538133
72,27.32223,13.097363,30.29926015624185,1.9885851
73,26.816935,12.813102,29.720760562247353,1.2107596
74,26.595377,12.686396,29.466230298892047,0.53358954
75,27.359428,13.007972,30.294317396236316,-1.7417004
76,26.22187,12.446569,29.025911528134003,2.6722202
77,26.31554,12.449778,29.111932925724375,-0.1818265
78,26.022203,12.209019,28.743959538674165,0.78429556
79,25.539545,11.94253,28.19383611748375,1.1764594
80,25.958735,12.057159,28.622210903968444,-0.92227924
81,25.211723,11.631146,27.76534802197246,1.8573396
82,25.010502,11.401091,27.48654344949145,0.6116119
83,25.629707,11.582912,28.125536019197707,-1.4139097
84,25.0649,11.229426,27.46541904220765,1.4734293
85,24.089304,10.697938,26.35792893002917,2.4938138
86,24.29569,10.675334,26.53758367236868,-0.40887117
87,24.803278,10.7233925,27.022096987205444,-1.1206825
88,24.479113,10.4873085,26.63100770322187,0.91286707
89,24.98764,10.548487,27.122919662088258,-1.1652589
90,24.64685,10.230756,26.68586929663689,1.0528954
91,24.40793,9.997663,26.37613158487826,0.75618243
92,23.983316,9.692148,25.86768654192427,1.2581522
93,23.64498,9.407153,25.44758514758817,1.0559294
94,23.7834,9.331732,25.54860707048796,-0.2574704
95,23.676939,9.197169,25.400498080438798,0.38128772
96,24.056507,9.156053,25.740023856340926,-0.8920661
97,23.602438,9.07573,25.287229380194315,1.177542
98,22.642326,8.387091,24.145769577227448,3.0815578
99,22.555576,8.195843,23.998454997877598,0.4054208
100,23.288689,8.498735,24.790957075804375,-2.1716566
101,22.211935,7.8446465,23.55649609557375,3.4953477
102,22.546589,7.803786,23.858913254782138,-0.8737395
103,22.826715,7.811283,24.12623205646061,-0.7811791
104,22.75766,7.644951,24.00742225317386,0.3536757
105,22.88356,7.5437527,24.094927925972563,-0.26544365
106,22.323553,7.236659,23.4672168378204,1.9363552
107,22.471003,7.1435537,23.57915007712057,-0.35210097
108,22.35485,6.9839745,23.42040261799661,0.50813127
109,22.429274,6.866582,23.456817559913418,-0.11894721
110,21.969769,6.605366,22.94126358130762,1.7147576
111,22.257536,6.5872107,23.211834171505465,-0.9142313
112,21.63263,6.2835755,22.526739211261525,2.3585944
113,21.614899,6.1767735,22.480133101860044,0.16309264
114,21.826172,6.134502,22.671875,-0.6822056
115,21.57393,5.928327,22.37363468032393,1.0853343
116,22.082664,5.946962,22.86942144024896,-1.8409892
117,21.41919,5.667553,22.156327133152057,2.694973
118,21.515278,5.5917945,22.230055195700846,-0.2836799
119,21.254211,5.4406466,21.939511459600403,1.1350265
120,22.084156,5.531927,22.76647084693231,-3.301327
121,22.230732,5.44667,22.888242463465957,-0.49701416
122,21.653168,5.203331,22.26958298154402,2.5744927
123,21.615261,5.1264524,22.214860578396124,0.23073246
124,21.266535,4.9270625,21.82982919931106,1.6618994
125,21.59568,4.9017572,22.144991189106964,-1.3885098
126,20.8331,4.614363,21.338003521583488,3.6434178
127,20.959873,4.5602994,21.45023565985421,-0.5158371
128,21.101322,4.4752984,21.570676806729793,-0.56788784
129,21.039862,4.379807,21.490893187353436,0.3832672
130,20.808086,4.217391,21.23117631928082,1.2814109
131,20.676409,4.093464,21.077721051077397,0.77511466
132,20.713665,4.003426,21.096997724517138,-0.099737205
133,20.390114,3.8449998,20.74947641470442,1.8429128
134,20.277735,3.7284443,20.617658198491984,0.71691424
135,20.234076,3.6093988,20.553481144521555,0.35977274
136,19.9982,3.4732733,20.297576398821995,1.4734325
137,20.13829,3.4186811,20.426407629882192,-0.7589011
138,19.906303,3.254476,20.170585987087733,1.5647568
139,19.850096,3.1519341,20.098781021125543,0.45220977
140,19.834585,3.0717382,20.07103245959561,0.17917582
141,19.876444,3.0003238,20.101616394943296,-0.20261142
142,19.32741,2.7962549,19.52864045067046,3.9603474
143,18.740734,2.652619,18.927532733067142,4.246822
144,19.060652,2.608261,19.2382816465736,-2.270891
